"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
5333,1,281089,302575,311984,317257,327050,338013,346019,366091,0,0,0,0,0,0,0,0,0,0,0
5334,1,299087,317235,322513,331020,340183,344496,357360,367828,386782,398505,413421,426610,430640,438918,444677,0,0,0,0
5335,1,327062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5336,1,272297,299543,325439,344252,366652,386155,399976,434417,463268,479468,486356,497388,508393,512187,521309,537909,551323,582954,608926
5337,1,260438,277261,285465,297660,311039,322575,335505,353310,376106,385823,401064,0,0,0,0,0,0,0,0
5338,1,264098,286976,303624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5339,1,292655,300946,310219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5340,1,295013,316452,330413,344511,359800,370752,389294,394911,413785,421517,438574,449166,455030,462669,478510,500189,503772,511352,538212
5341,1,276106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5342,1,287960,313374,324910,339939,358948,372014,384287,406021,435458,450487,466467,481966,500723,511491,523037,568596,587421,615214,628397
5343,1,303271,321672,327024,335650,344940,349315,362358,372973,392192,404078,419203,432577,436663,445057,450896,479542,491629,511579,533569
5344,1,298828,320544,334686,348966,364452,375547,0,0,0,0,0,0,0,0,0,0,0,0,0
5345,1,319129,354786,385380,422298,452783,468971,506230,539896,567446,585512,598286,608236,616155,627098,643553,667704,692904,745923,778033
5346,1,288706,310774,320438,325855,335912,347173,355395,376011,394899,405672,414416,425959,435439,451484,455639,477010,490731,527407,544548
5347,1,291684,317426,329111,344335,363590,376824,389257,411271,441089,456312,472499,488198,507198,518105,529801,575948,595017,623169,636523
